dates,DALEC2_nee,gap_filled_nee,assimilated_nee
2009-03-22 00:00:00,1.8165900707244873,1.39249587059021,1.5295000076293945
2009-03-23 00:00:00,1.9423590898513794,1.1535187959671021,nan
2009-03-24 00:00:00,1.529940128326416,0.62356477975845337,nan
2009-03-25 00:00:00,1.7332348823547363,0.58135771751403809,nan
2009-03-26 00:00:00,2.0399100780487061,1.2031295299530029,nan
2009-03-27 00:00:00,1.5881556272506714,1.3140871524810791,1.2497999668121338
2009-03-28 00:00:00,1.521708607673645,0.58318078517913818,nan
2009-03-29 00:00:00,1.219910740852356,1.8167401552200317,nan
2009-03-30 00:00:00,1.2471936941146851,1.8970638513565063,nan
2009-03-31 00:00:00,2.0944700241088867,1.2519763708114624,nan
2009-04-01 00:00:00,1.3569140434265137,1.0323119163513184,nan
2009-04-02 00:00:00,1.4156265258789062,1.7616772651672363,nan
