Hourly Year,Year,Month,Day,Day,Houre,Day,Rtot
13-Apr-07,2007,4,13,103,9,103.3,9999
13-Apr-07,2007,4,13,103,10,103.4,1.65
13-Apr-07,2007,4,13,103,11,103.4,1.65
13-Apr-07,2007,4,13,103,12,103.5,1.83
13-Apr-07,2007,4,13,103,13,103.5,1.8
13-Apr-07,2007,4,13,103,14,103.5,1.85
13-Apr-07,2007,4,13,103,15,103.6,1.97
13-Apr-07,2007,4,13,103,16,103.6,2.07
13-Apr-07,2007,4,13,103,17,103.7,2.35
13-Apr-07,2007,4,13,103,18,103.7,2.27
13-Apr-07,2007,4,13,103,19,103.8,2.2
13-Apr-07,2007,4,13,103,20,103.8,2.21
13-Apr-07,2007,4,13,103,21,103.8,2.26
13-Apr-07,2007,4,13,103,22,103.9,2.3
13-Apr-07,2007,4,13,103,23,103.9,2.2
14-Apr-07,2007,4,14,103,24,104,2.26
14-Apr-07,2007,4,14,104,1,104,1.96
14-Apr-07,2007,4,14,104,2,104,1.95
14-Apr-07,2007,4,14,104,3,104.1,2.11
14-Apr-07,2007,4,14,104,4,104.1,2.14
14-Apr-07,2007,4,14,104,5,104.2,2.08
14-Apr-07,2007,4,14,104,6,104.2,2.03
14-Apr-07,2007,4,14,104,7,104.3,1.87
14-Apr-07,2007,4,14,104,8,104.3,1.8
14-Apr-07,2007,4,14,104,9,104.3,1.75
14-Apr-07,2007,4,14,104,10,104.4,1.9
14-Apr-07,2007,4,14,104,11,104.4,2.08
14-Apr-07,2007,4,14,104,12,104.5,2.14
14-Apr-07,2007,4,14,104,13,104.5,2.28
14-Apr-07,2007,4,14,104,14,104.5,2.16
14-Apr-07,2007,4,14,104,15,104.6,2.32
14-Apr-07,2007,4,14,104,16,104.6,2.5
14-Apr-07,2007,4,14,104,17,104.7,2.68
14-Apr-07,2007,4,14,104,18,104.7,2.58
14-Apr-07,2007,4,14,104,19,104.8,2.68
14-Apr-07,2007,4,14,104,20,104.8,2.65
14-Apr-07,2007,4,14,104,21,104.8,2.58
14-Apr-07,2007,4,14,104,22,104.9,2.51
14-Apr-07,2007,4,14,104,23,104.9,2.39
15-Apr-07,2007,4,15,104,24,105,2.41
15-Apr-07,2007,4,15,105,1,105,2.17
15-Apr-07,2007,4,15,105,2,105,2.09
15-Apr-07,2007,4,15,105,3,105.1,2.14
15-Apr-07,2007,4,15,105,4,105.1,1.98
15-Apr-07,2007,4,15,105,5,105.2,1.98
15-Apr-07,2007,4,15,105,6,105.2,2.01
15-Apr-07,2007,4,15,105,7,105.3,2.01
15-Apr-07,2007,4,15,105,8,105.3,1.89
15-Apr-07,2007,4,15,105,9,105.3,1.86
15-Apr-07,2007,4,15,105,10,105.4,2.05
15-Apr-07,2007,4,15,105,11,105.4,2.14
15-Apr-07,2007,4,15,105,12,105.5,2.33
15-Apr-07,2007,4,15,105,13,105.5,2.55
15-Apr-07,2007,4,15,105,14,105.5,2.54
15-Apr-07,2007,4,15,105,15,105.6,2.44
15-Apr-07,2007,4,15,105,16,105.6,2.87
15-Apr-07,2007,4,15,105,17,105.7,2.75
15-Apr-07,2007,4,15,105,18,105.7,2.59
15-Apr-07,2007,4,15,105,19,105.8,2.74
15-Apr-07,2007,4,15,105,20,105.8,2.86
15-Apr-07,2007,4,15,105,21,105.8,2.61
15-Apr-07,2007,4,15,105,22,105.9,2.63
15-Apr-07,2007,4,15,105,23,105.9,2.58
16-Apr-07,2007,4,16,105,24,106,2.56
16-Apr-07,2007,4,16,106,1,106,2.44
16-Apr-07,2007,4,16,106,2,106,2.48
16-Apr-07,2007,4,16,106,3,106.1,2.3
16-Apr-07,2007,4,16,106,4,106.1,2.42
16-Apr-07,2007,4,16,106,5,106.2,2.58
16-Apr-07,2007,4,16,106,6,106.2,2.17
16-Apr-07,2007,4,16,106,7,106.3,2.22
16-Apr-07,2007,4,16,106,8,106.3,2.09
16-Apr-07,2007,4,16,106,9,106.3,2.09
16-Apr-07,2007,4,16,106,10,106.4,2.33
16-Apr-07,2007,4,16,106,11,106.4,2.27
16-Apr-07,2007,4,16,106,12,106.5,2.5
16-Apr-07,2007,4,16,106,13,106.5,2.44
16-Apr-07,2007,4,16,106,14,106.5,2.49
16-Apr-07,2007,4,16,106,15,106.6,2.74
16-Apr-07,2007,4,16,106,16,106.6,2.7
16-Apr-07,2007,4,16,106,17,106.7,2.77
16-Apr-07,2007,4,16,106,18,106.7,2.78
16-Apr-07,2007,4,16,106,19,106.8,2.93
